split,variant,mechanism,n_cases,n_total_cases,n_scored_cases,positives,negatives,average_precision,binary_log_loss,brier_score,evidence_role
train,prevalence,delamination,653,653,653,68,585,0.10413476263399694,0.3340741360411917,0.09329071384515805,in_sample
train,prevalence,macro,653,653,653,671,3900,0.14679501203237802,0.3942585275436595,0.119332110049942,in_sample
train,prevalence,micro,653,653,653,671,3900,0.2305279629031292,0.3942585275436594,0.11933211004994197,in_sample
validation,full,dram_electrical,126,126,126,22,104,0.9945454545454544,0.08704341620887653,0.02076096565637293,development
validation,full,tsv_open_short,126,126,126,14,112,0.692613039981461,0.1750460329586631,0.057394903179204655,development
validation,full,microbump_open_bridge,126,126,126,19,107,0.6783340839504532,0.19104613541452392,0.06522372321821011,development
validation,full,die_crack,126,126,126,5,121,0.061168614988839715,0.17650190845019867,0.04046832868523056,development
validation,full,warpage,126,126,126,28,98,0.5270224871500911,0.3787102356744402,0.12957405175091224,development
validation,full,underfill_void,126,126,126,26,100,0.45665037416048193,0.39779162830559694,0.13775139246577164,development
validation,full,delamination,126,126,126,14,112,0.1640247494377042,0.3387388902097627,0.1007885567945172,development
validation,full,macro,126,126,126,128,754,0.5106226863163551,0.24926832103172317,0.0788517031071742,development
validation,full,micro,126,126,126,128,754,0.64245564392331,0.24926832103172317,0.07885170310717418,development
validation,inspection,dram_electrical,126,126,126,22,104,0.9999999999999998,0.02563350858603895,0.005942542851083328,development
validation,inspection,tsv_open_short,126,126,126,14,112,0.6744760615810123,0.15932462103490028,0.055145256532141924,development
validation,inspection,microbump_open_bridge,126,126,126,19,107,0.7727426785207363,0.16660127894123503,0.05796135817193613,development
validation,inspection,die_crack,126,126,126,5,121,0.09459325396825397,0.15248387104802416,0.0380052609379044,development
validation,inspection,warpage,126,126,126,28,98,0.5977218781060133,0.35774168061997347,0.12347086620058488,development
validation,inspection,underfill_void,126,126,126,26,100,0.6014278904929431,0.3382348738909189,0.11498789802195009,development
validation,inspection,delamination,126,126,126,14,112,0.27167972977225585,0.28655755760631824,0.09002327826974309,development
validation,inspection,macro,126,126,126,128,754,0.5732344989201735,0.2123681988182013,0.06936235156933483,development
validation,inspection,micro,126,126,126,128,754,0.7235510384671399,0.2123681988182013,0.06936235156933483,development
validation,manufacturing,dram_electrical,126,126,126,22,104,0.17020855253581263,0.5250346881807968,0.15499275784245284,development
validation,manufacturing,tsv_open_short,126,126,126,14,112,0.19735703150840384,0.3386405025891638,0.0974793256218798,development
validation,manufacturing,microbump_open_bridge,126,126,126,19,107,0.13715942698264455,0.4585875696158778,0.13581286080817181,development
validation,manufacturing,die_crack,126,126,126,5,121,0.034744152364560445,0.19431294253246392,0.04062127583149676,development
validation,manufacturing,warpage,126,126,126,28,98,0.3039504357665988,0.5338382323262829,0.17660995679818872,development
validation,manufacturing,underfill_void,126,126,126,26,100,0.29680206162961154,0.524006253869189,0.16913579674730359,development
validation,manufacturing,delamination,126,126,126,14,112,0.08633849260943943,0.40831582255447996,0.10921897593628158,development
validation,manufacturing,macro,126,126,126,128,754,0.17522287905672446,0.42610514452403636,0.12626727851225358,development
validation,manufacturing,micro,126,126,126,128,754,0.22121397278373622,0.42610514452403625,0.12626727851225358,development
validation,prevalence,dram_electrical,126,126,126,22,104,0.1746031746031746,0.5011631827116972,0.15174059542729063,development
validation,prevalence,tsv_open_short,126,126,126,14,112,0.1111111111111111,0.3489691879040835,0.0987932556145235,development
validation,prevalence,microbump_open_bridge,126,126,126,19,107,0.15079365079365079,0.4242708237944812,0.12810174760672988,development
validation,prevalence,die_crack,126,126,126,5,121,0.03968253968253968,0.16946009288887182,0.038346464961522324,development
validation,prevalence,warpage,126,126,126,28,98,0.2222222222222222,0.5389003632384394,0.17638620823356604,development
validation,prevalence,underfill_void,126,126,126,26,100,0.20634920634920634,0.5120909483387259,0.16482859607887465,development
validation,prevalence,delamination,126,126,126,14,112,0.1111111111111111,0.34908796449521357,0.09881410153683955,development
validation,prevalence,macro,126,126,126,128,754,0.14512471655328799,0.40627750905307325,0.12243013849419238,development
validation,prevalence,micro,126,126,126,128,754,0.1908520526266062,0.4062775090530732,0.12243013849419235,development
