split,variant,mechanism,bin_lower,bin_upper,n,positives,mean_probability,observed_fraction
validation,full,warpage,0.0,0.2,58,0,0.03236332604665833,0.0
validation,full,warpage,0.2,0.4,36,11,0.31773468191617543,0.3055555555555556
validation,full,warpage,0.4,0.6000000000000001,24,12,0.5062137122685183,0.5
validation,full,warpage,0.6000000000000001,0.8,7,5,0.6578018603614775,0.7142857142857143
validation,full,warpage,0.8,1.0,1,0,0.8186397263539767,0.0
validation,full,underfill_void,0.0,0.2,60,3,0.03403549925947935,0.05
validation,full,underfill_void,0.2,0.4,39,13,0.312157155844403,0.3333333333333333
validation,full,underfill_void,0.4,0.6000000000000001,20,6,0.47929224913581453,0.3
validation,full,underfill_void,0.6000000000000001,0.8,6,3,0.6590611449331018,0.5
validation,full,underfill_void,0.8,1.0,1,1,0.923615220905646,1.0
validation,full,delamination,0.0,0.2,108,12,0.06433562167413188,0.1111111111111111
validation,full,delamination,0.2,0.4,16,2,0.2459121837489436,0.125
validation,full,delamination,0.4,0.6000000000000001,2,0,0.41841360835345887,0.0
validation,full,delamination,0.6000000000000001,0.8,0,0,,
validation,full,delamination,0.8,1.0,0,0,,
validation,inspection,dram_electrical,0.0,0.2,104,0,0.005955429674271103,0.0
validation,inspection,dram_electrical,0.2,0.4,1,1,0.21896772219667635,1.0
validation,inspection,dram_electrical,0.4,0.6000000000000001,0,0,,
validation,inspection,dram_electrical,0.6000000000000001,0.8,1,1,0.7633677911098552,1.0
validation,inspection,dram_electrical,0.8,1.0,20,20,0.961149688787556,1.0
validation,inspection,tsv_open_short,0.0,0.2,96,0,0.005664186891885939,0.0
validation,inspection,tsv_open_short,0.2,0.4,8,2,0.3335521728062371,0.25
validation,inspection,tsv_open_short,0.4,0.6000000000000001,13,8,0.5073041278507935,0.6153846153846154
validation,inspection,tsv_open_short,0.6000000000000001,0.8,9,4,0.654976644220525,0.4444444444444444
validation,inspection,tsv_open_short,0.8,1.0,0,0,,
validation,inspection,microbump_open_bridge,0.0,0.2,93,0,0.0029876204922348504,0.0
validation,inspection,microbump_open_bridge,0.2,0.4,8,3,0.3414179527693564,0.375
validation,inspection,microbump_open_bridge,0.4,0.6000000000000001,18,10,0.502179384859297,0.5555555555555556
validation,inspection,microbump_open_bridge,0.6000000000000001,0.8,5,4,0.6944928387414325,0.8
validation,inspection,microbump_open_bridge,0.8,1.0,2,2,0.8729801579722087,1.0
validation,inspection,die_crack,0.0,0.2,126,5,0.04416192566966579,0.03968253968253968
validation,inspection,die_crack,0.2,0.4,0,0,,
validation,inspection,die_crack,0.4,0.6000000000000001,0,0,,
validation,inspection,die_crack,0.6000000000000001,0.8,0,0,,
validation,inspection,die_crack,0.8,1.0,0,0,,
validation,inspection,warpage,0.0,0.2,58,0,0.01709961230389027,0.0
validation,inspection,warpage,0.2,0.4,32,10,0.31885646326326256,0.3125
validation,inspection,warpage,0.4,0.6000000000000001,24,11,0.47434619594456984,0.4583333333333333
validation,inspection,warpage,0.6000000000000001,0.8,12,7,0.6562675666200596,0.5833333333333334
validation,inspection,warpage,0.8,1.0,0,0,,
validation,inspection,underfill_void,0.0,0.2,59,1,0.01992021023556939,0.01694915254237288
validation,inspection,underfill_void,0.2,0.4,40,13,0.2977017488478174,0.325
validation,inspection,underfill_void,0.4,0.6000000000000001,20,6,0.454138859079423,0.3
validation,inspection,underfill_void,0.6000000000000001,0.8,5,4,0.6555355814536231,0.8
validation,inspection,underfill_void,0.8,1.0,2,2,0.8663821593477568,1.0
validation,inspection,delamination,0.0,0.2,119,12,0.08160401589816497,0.10084033613445378
validation,inspection,delamination,0.2,0.4,7,2,0.2125578591397806,0.2857142857142857
validation,inspection,delamination,0.4,0.6000000000000001,0,0,,
validation,inspection,delamination,0.6000000000000001,0.8,0,0,,
validation,inspection,delamination,0.8,1.0,0,0,,
validation,manufacturing,dram_electrical,0.0,0.2,125,22,0.08538954121371273,0.176
validation,manufacturing,dram_electrical,0.2,0.4,1,0,0.25995010463000656,0.0
validation,manufacturing,dram_electrical,0.4,0.6000000000000001,0,0,,
validation,manufacturing,dram_electrical,0.6000000000000001,0.8,0,0,,
validation,manufacturing,dram_electrical,0.8,1.0,0,0,,
validation,manufacturing,tsv_open_short,0.0,0.2,104,9,0.09041520517762007,0.08653846153846154
validation,manufacturing,tsv_open_short,0.2,0.4,22,5,0.246272191396522,0.22727272727272727
validation,manufacturing,tsv_open_short,0.4,0.6000000000000001,0,0,,
validation,manufacturing,tsv_open_short,0.6000000000000001,0.8,0,0,,
validation,manufacturing,tsv_open_short,0.8,1.0,0,0,,
validation,manufacturing,microbump_open_bridge,0.0,0.2,109,19,0.11107726958989277,0.1743119266055046
validation,manufacturing,microbump_open_bridge,0.2,0.4,17,0,0.23071081315249767,0.0
validation,manufacturing,microbump_open_bridge,0.4,0.6000000000000001,0,0,,
validation,manufacturing,microbump_open_bridge,0.6000000000000001,0.8,0,0,,
validation,manufacturing,microbump_open_bridge,0.8,1.0,0,0,,
validation,manufacturing,die_crack,0.0,0.2,126,5,0.04614628327519134,0.03968253968253968
validation,manufacturing,die_crack,0.2,0.4,0,0,,
validation,manufacturing,die_crack,0.4,0.6000000000000001,0,0,,
validation,manufacturing,die_crack,0.6000000000000001,0.8,0,0,,
validation,manufacturing,die_crack,0.8,1.0,0,0,,
validation,manufacturing,warpage,0.0,0.2,36,6,0.14895281131812935,0.16666666666666666
validation,manufacturing,warpage,0.2,0.4,68,14,0.29199217873387856,0.20588235294117646
validation,manufacturing,warpage,0.4,0.6000000000000001,20,8,0.474199614978749,0.4
validation,manufacturing,warpage,0.6000000000000001,0.8,2,0,0.6402021177521262,0.0
